fishnet_id,px_total_f,px_burned_f,perc_burned_f,px_0_f,perc_0_f,px_10_f,perc_10_f,px_20_f,perc_20_f,px_30_f,perc_30_f,px_40_f,perc_40_f,px_50_f,perc_50_f,px_60_f,perc_60_f,px_70_f,perc_70_f,px_80_f,perc_80_f,px_90_f,perc_90_f,px_95_f,perc_95_f,px_100_f,perc_100_f,px_0_ba,perc_0_ba,px_10_ba,perc_10_ba,px_20_ba,perc_20_ba,px_30_ba,perc_30_ba,px_40_ba,perc_40_ba,px_50_ba,perc_50_ba,px_60_ba,perc_60_ba,px_70_ba,perc_70_ba,px_80_ba,perc_80_ba,px_90_ba,perc_90_ba,px_95_ba,perc_95_ba,px_100_ba,perc_100_ba,no_patches
1,262144.0,0.0,0.0,0.0,0.0,181660.0,69.29779052734375,62770.0,23.944854736328125,17714.0,6.757354736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,786432.0,377687.0,48.025385538736984,0.0,0.0,603276.0,76.71051025390625,151841.0,19.307581583658852,31179.0,3.9646148681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.017293294270833336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272363.0,72.11341666512217,81876.0,21.6782679838067,23312.0,6.1723066984037045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.03600865266742038,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,1572864.0,940614.0,59.80262756347656,0.0,0.0,787086.0,50.04158020019531,478071.0,30.394935607910156,215727.0,13.715553283691406,88562.0,5.630620320638021,0.0,0.0,2074.0,0.13186136881510419,0.0,0.0,1344.0,0.08544921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514830.0,54.73339754670885,254193.0,27.024156561565103,158458.0,16.84623022834021,10614.0,1.1284118671421008,0.0,0.0,1175.0,0.12491840436140648,0.0,0.0,1344.0,0.1428853918823237,0.0,0.0,0.0,0.0,0.0,0.0,6.0
4,262144.0,195623.0,74.62425231933594,0.0,0.0,157615.0,60.12535095214844,85437.0,32.59162902832031,16707.0,6.3732147216796875,987.0,0.3765106201171875,1398.0,0.533294677734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126870.0,64.8543371689423,52227.0,26.697780935779537,15369.0,7.856438148888422,646.0,0.3302270182953947,511.0,0.2612167280943447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,1572864.0,326898.0,20.783615112304688,0.0,0.0,1239701.0,78.81806691487631,187222.0,11.90325419108073,116242.0,7.3904673258463545,26570.0,1.6892751057942708,3129.0,0.19893646240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274622.0,84.0084674730344,35309.0,10.80122851776395,15820.0,4.83943003628043,1147.0,0.350873972921217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
6,2359296.0,2253183.0,95.5023447672526,0.0,0.0,2018760.0,85.56620279947916,263676.0,11.176045735677082,74543.0,3.159544203016493,2317.0,0.09820726182725695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949617.0,86.52723724615356,239900.0,10.647160039819225,63446.0,2.815838749005296,220.0,0.009763965021926758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
7,2359296.0,2098596.0,88.95009358723959,0.0,0.0,2091843.0,88.66386413574219,149310.0,6.328582763671875,94725.0,4.0149688720703125,187.0,0.007926093207465278,18730.0,0.7938808865017362,601.0,0.025473700629340276,0.0,0.0,3900.0,0.16530354817708331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1858058.0,88.53814645601155,148317.0,7.0674393737527375,91586.0,4.3641558451459925,187.0,0.008910719357132101,393.0,0.018726805921673348,0.0,0.0,0.0,0.0,55.0,0.002620799810921206,0.0,0.0,0.0,0.0,0.0,0.0,9.0
8,1048576.0,568702.0,54.23564910888672,0.0,0.0,887113.0,84.60168838500977,94019.0,8.966350555419922,62382.0,5.949211120605469,0.0,0.0,5062.0,0.48274993896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468538.0,82.38726081497867,64869.0,11.40650112009453,34770.0,6.1139225815980955,0.0,0.0,525.0,0.0923154833287029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
9,1310720.0,399449.0,30.475540161132812,0.0,0.0,1083494.0,82.66403198242188,91558.0,6.985321044921874,46151.0,3.521041870117188,18722.0,1.428375244140625,52928.0,4.0380859375,17867.0,1.3631439208984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393486.0,98.50719365926564,0.0,0.0,5608.0,1.403933918973386,0.0,0.0,355.0,0.08887242176097575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
10,1835008.0,434633.0,23.685618809291295,0.0,0.0,1455830.0,79.33643886021206,24622.0,1.3417925153459822,86989.0,4.7405242919921875,92334.0,5.031803676060268,172009.0,9.373746599469866,3224.0,0.17569405691964285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424974.0,97.77766529462788,8545.0,1.9660265097219953,1042.0,0.2397424953926646,0.0,0.0,72.0,0.016565700257458592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
